Model,MTOW (kg)
Airbus A320 214,"73,500"
2013 BOEING 737-932ER,"70,535"
2008 BOEING 737-890,"79,000"
2002 BOEING 717-200,"55,000"
2012 BOEING 737-890,"85,000"
2007 EMBRAER ERJ170-200LR,"22,000"
Embraer EMB-175 200LR,"37,500"
Airbus A320 232,"68,000"
Fokker F50,"46,000"
Airbus A320 214SL,"73,500"
737-990ER,"85,000"
2014 BOEING 737-8H4,"79,000"
Boeing 737NG 8K5/W,"85,000"
Boeing 747 4D7,"412,770"
Airbus A320 232SL,"70,000"
Airbus A380 841,"589,670"
Airbus A319 111,"64,000"
2009 BOMBARDIER INC DHC-8-402,"36,500"
De Havilland Canada DHC-8 311A,"70,700"
Boeing 737NG 800/W,"85,000"
2001 BOEING 717-200,"50,000"
Boeing 737NG 8H4/W,"85,000"
Boeing 737NG 900ER/W,"85,000"
Boeing 737NG 838/W,"85,000"
EMBRAER-EMPRESA BRASILEIRA DE ERJ 170-200 LR,"48,000"
Airbus A319 114,"64,000"
2015 EMBRAER S A ERJ170-200LR,"37,500"
2014 BOEING 737-932ER,"85,000"
Boeing 737NG 8FE/W,"70,000"
1996 BOEING 757-251,"124,000"
Fokker F100,"46,000"
2004 BOEING 737-7H4,"66,000"
2006 BOMBARDIER INC CL-600-2D24,"33,000"
BOEING 737-832,"79,000"
Boeing 737NG 6CT,"66,000"
Boeing 777 300ER,"351,500"
2001 BOEING 737-990,"85,000"
2008 BOMBARDIER INC DHC-8-402,"28,000"
2009 BOEING 737-823,"79,000"
1997 MCDONNELL DOUGLAS AIRCRAFT CO MD 83,"73,000"
Boeing 737NG 81D/W,"79,000"
2003 BOMBARDIER INC CL-600-2D24,"33,000"
BOMBARDIER INC DHC-8-402,"28,000"
BOMBARDIER INC CL-600-2D24,"33,000"
2008 HAWKER BEECHCRAFT CORP HAWKER 900XP,"65,000"
2004 EMBRAER EMB-145XR,"22,000"
2013 EMBRAER ERJ 190-100 IGW,"48,000"
2009 BOMBARDIER INC CL-600-2D24,"33,000"
2013 BOEING 737-990ER,"70,535"
Boeing 737NG 881/W,"79,000"
2007 BOEING 737-7H4,"70,000"
Embraer EMB-190 AR,"48,000"
 BOEING 757-26D,"116,000"
Boeing 737NG 7K9,"70,000"
2007 BOMBARDIER INC DHC-8-402,"28,000"
1998 BOEING 757-24APF,"116,000"
Boeing 757 2Q8PCF,"124,000"
2008 BOMBARDIER INC CL-600-2D24,"33,000"
Bombardier CRJ 200ER,"23,000"
2001 BOEING 717-200,"55,000"
Airbus A321 211,"83,000"
2005 BOMBARDIER INC CL-600-2D24,"33,000"
Boeing 737NG 7Q8,"79,000"
Boeing 717 2BL,"50,000"
Airbus A310 308,"157,000"
ERJ 170-200 LR,"22,000"
EMBRAER ERJ170-200LR,"48,000"
2005 EMBRAER EMB-145XR,"37,500"
2000 AIRBUS INDUSTRIE A319-112,"544,310"
Boeing 757 236F,"124,000"
McDonnell Douglas C-17A Globemaster III,"273,300"
Boeing 737NG 990ER/W,"85,000"
2001 AIRBUS INDUSTRIE A319-132,"544,310"
2004 BOMBARDIER INC CL-600-2C10,"30,000"
2015 BOEING 737-990ER,"85,000"
McDonnell Douglas MD-11 F,"273,300"
2005 BOEING 737-7H4,"70,000"
Boeing 757 2T7SF,"116,000"
Airbus A321 231SL,"83,000"
1991 BOEING 757-24APF,"116,000"
Piaggio P-180 Avanti II,"548,846"
1992 MCDONNELL DOUGLAS MD-11F,"273,300"
BOEING 737-73V,"59,000"
2004 BOEING 737-824,"79,000"
2008 EMBRAER-EMPRESA BRASILEIRA DE ERJ 170-200 LR,"37,500"
2010 BOEING 737-823,"85,000"
BOEING 767-281,"159,000"
Embraer EMB-190 LR,"48,000"
BOMBARDIER INC CL-600-2C10,"33,000"
1984 BOEING 767-281,"159,000"
2005 BOMBARDIER INC CL-600-2C10,"33,000"
Boeing 737NG 846/W,"85,000"
2014 BOEING 737-990ER,"85,000"
Airbus A321 131,"84,000"
2013 BOEING 737-823,"79,000"
Boeing 737MAX 8,"82,190"
Boeing 737NG 9GPER/W,"229,518"
Bombardier DHC-8 402,"48,000"
Embraer ERJ-145 EU,"22,000"
2009 BOMBARDIER INC DHC-8-402,"33,000"
2001 BOMBARDIER INC DHC-8-402,"28,000"
Boeing 737NG 8K2/W,"79,000"
2005 PILATUS AIRCRAFT LTD PC-12/45,"4,000"
Airbus A319 112,"64,000"
Boeing 737NG 8GP/W,"82,000"
Boeing 737NG 8F2/W,"89,200"
2008 EMBRAER ERJ170-200LR,"50,000"
Airbus A319 131,"64,000"
Airbus A320 216,"68,000"
Airbus A321 231,"70,000"
Boeing 737NG 8AS/W,"79,000"
